Format: Days, Expected Price, Expected Return, Probability of Breakeven
TGVCU: 90, 10.6, 3.34, 0.7704
WTFCP: 90, 29.15, 4.19, 0.7701
DISAU: 90, 10.7, 2.59, 0.7696
ENER: 90, 9.96, 2.02, 0.7687
ACBA: 90, 10.4, 2.4, 0.7686
IPAX: 90, 9.82, 1.3, 0.7671
VGSH: 90, 61.07, 0.45, 0.7653
GBRGU: 90, 11.14, 3.26, 0.7642
SHY: 90, 85.86, 0.42, 0.7638
CEFA: 90, 34.75, 6.3, 0.7621
UCRD: 90, 25.1, 0.48, 0.7617
STRN: 90, 20.03, 69.35, 0.7608
EWCZ: 90, 40.95, 26.32, 0.7595
AMAOU: 90, 10.82, 2.49, 0.7581
GGGV: 90, 10.25, 2.4, 0.7563
FRGAP: 90, 27.78, 3.85, 0.7555
XOMAP: 90, 27.64, 4.84, 0.7541
MEOA: 90, 10.06, 0.93, 0.7533
CENQ: 90, 9.98, 0.77, 0.7533
CMCAU: 90, 10.42, 3.04, 0.7523
ZGEN: 90, 29.02, 15.7, 0.7501
WSBCP: 90, 29.71, 4.91, 0.7499
XPEL: 90, 101.91, 31.03, 0.7474
RADI: 90, 19.62, 16.62, 0.7473
FRBNU: 90, 10.42, 3.64, 0.7465
CWST: 90, 100.6, 14.17, 0.7426
OTECU: 90, 10.55, 2.05, 0.7423
FATPU: 90, 10.24, 1.7, 0.742
NVDA: 90, 371.05, 19.15, 0.7406
OXLCL: 90, 26.68, 2.21, 0.7405
GLSPT: 90, 10.08, 0.84, 0.7405
DKDCU: 90, 10.68, 2.07, 0.7394
SKIN: 90, 30.19, 22.35, 0.7393
UCBIO: 90, 28.92, 4.31, 0.7389
TSVT: 90, 130.01, 79.35, 0.7382
KNSL: 90, 280.58, 15.65, 0.7377
POOL: 90, 637.14, 10.91, 0.7377
TBKCP: 90, 28.66, 4.53, 0.7359
MASI: 90, 331.28, 11.56, 0.7345
TCBC: 90, 14.38, 7.27, 0.7336
IBTB: 90, 25.49, 0.34, 0.7336
ADALU: 90, 10.31, 1.71, 0.733
MEOAU: 90, 10.63, 2.92, 0.7329
BGRN: 90, 55.02, 1.5, 0.7323
OCCIO: 90, 26.19, 2.08, 0.7319
SNPS: 90, 417.04, 10.46, 0.7313
GGGVU: 90, 11.11, 4.31, 0.7301
AVGOP: 90, 2399.46, 12.54, 0.7271
APMI: 90, 9.94, 2.01, 0.7258
CHK: 90, 76.33, 14.1, 0.7247
AMZN: 90, 3824.5, 11.52, 0.7244
COST: 90, 614.91, 7.67, 0.7244
CLAQ: 90, 10.12, 1.69, 0.7236
NVTSW: 90, 18.98, 71.44, 0.7231
CNGLU: 90, 10.27, 1.34, 0.723
AVHI: 90, 9.97, 0.98, 0.723
CDNS: 90, 213.93, 11.22, 0.722
VPN: 90, 19.99, 6.96, 0.7219
NLIT: 90, 10.22, 1.64, 0.7219
MSFT: 90, 381.2, 10.3, 0.7211
HERO: 90, 31.24, 9.76, 0.7208
OFSSH: 90, 25.98, 1.86, 0.7206
ISTB: 90, 50.78, 0.73, 0.7202
GBNY: 90, 12.75, 6.14, 0.7194
GWII: 90, 9.9, 1.22, 0.7193
CNTQ: 90, 10.12, 1.51, 0.7187
USCB: 90, 17.19, 18.96, 0.7152
MCAFU: 90, 10.9, 3.8, 0.7147
MORN: 90, 375.72, 8.44, 0.7142
AUBAP: 90, 29.04, 3.72, 0.7142
FMBIO: 90, 29.57, 4.4, 0.7141
LAAA: 90, 10.07, 1.96, 0.7135
CPRT: 90, 167.51, 9.95, 0.7133
INMD: 90, 101.08, 29.99, 0.7132
TW: 90, 115.25, 12.66, 0.7131
FSV: 90, 216.79, 10.16, 0.7107
BUG: 90, 36.16, 10.82, 0.7101
ASPAU: 90, 10.54, 2.12, 0.7094
HLAL: 90, 47.25, 8.09, 0.7083
IHYF: 90, 25.65, 0.99, 0.7082
ALGM: 90, 44.36, 19.56, 0.7081
MEACU: 90, 10.5, 2.56, 0.7079
TCBX: 90, 30.41, 13.23, 0.7072
NICE: 90, 340.97, 9.0, 0.7067
SUSL: 90, 92.25, 7.88, 0.7056
SPCX: 90, 29.13, 3.75, 0.7046
CHKEL: 90, 44.38, 23.8, 0.7045
