Format: Days, Expected Price, Expected Return, Probability of Breakeven
IBTD: 90, 25.55, 0.23, 0.6153
WSBF: 90, 22.96, 4.48, 0.615
TTGT: 90, 107.78, 10.33, 0.6149
APP: 90, 112.1, 16.87, 0.6148
XEL: 90, 71.12, 4.44, 0.6148
TGAAU: 90, 10.03, 0.68, 0.6148
GBRG: 90, 9.98, 0.58, 0.6148
FSFG: 90, 27.5, 6.39, 0.6146
LBRDK: 90, 171.82, 5.72, 0.6146
NARI: 90, 106.53, 15.23, 0.6145
HSKA: 90, 197.33, 10.95, 0.6145
APTM: 90, 9.8, 1.05, 0.6144
EDNCU: 90, 10.15, 1.66, 0.6143
MCHP: 90, 96.01, 8.09, 0.614
PEP: 90, 180.4, 4.12, 0.614
CYXT: 90, 13.39, 7.4, 0.6135
GECCO: 90, 25.76, 1.55, 0.6135
RNDV: 90, 32.4, 4.27, 0.6131
CDL: 90, 63.51, 3.88, 0.6131
TWCB: 90, 9.81, 0.84, 0.6128
MRVL: 90, 97.83, 9.5, 0.6123
FCVT: 90, 43.01, 3.47, 0.6122
LSCC: 90, 87.99, 11.47, 0.612
KBWP: 90, 83.27, 4.02, 0.6119
GNMA: 90, 49.96, 0.58, 0.6119
FV: 90, 51.56, 4.22, 0.6118
ACGLN: 90, 25.89, 1.37, 0.6118
PDP: 90, 98.69, 4.12, 0.6116
LCID: 90, 53.74, 31.21, 0.6115
IUSV: 90, 79.34, 3.65, 0.6113
BHFAN: 90, 26.7, 2.18, 0.6112
BSMP: 90, 26.19, 0.9, 0.611
PIO: 90, 45.16, 3.62, 0.6109
SPNS: 90, 37.26, 8.03, 0.6108
AZPN: 90, 162.94, 7.26, 0.6107
SIGI: 90, 87.17, 5.99, 0.6107
TSCO: 90, 252.23, 6.13, 0.6106
MGIC: 90, 22.72, 7.09, 0.6103
MIME: 90, 90.04, 11.44, 0.6102
ADSK: 90, 307.4, 8.08, 0.6101
SPSC: 90, 156.57, 7.93, 0.61
PSL: 90, 94.0, 3.33, 0.6098
BRKR: 90, 90.19, 7.18, 0.6097
VWOB: 90, 78.72, 1.53, 0.6091
TXG: 90, 169.23, 14.48, 0.6088
CRZN: 90, 21.11, 53.78, 0.6087
SLP: 90, 54.23, 10.45, 0.6087
HON: 90, 218.0, 4.8, 0.6087
BRLI: 90, 10.32, 1.12, 0.6087
SCZ: 90, 75.8, 3.37, 0.6086
APR: 90, 35.55, 11.36, 0.6084
VICR: 90, 142.81, 11.53, 0.608
LGSTU: 90, 10.15, 0.49, 0.6078
CSCO: 90, 67.56, 5.33, 0.6071
CENT: 90, 57.6, 8.43, 0.607
KRNT: 90, 175.78, 12.17, 0.6069
SAIA: 90, 368.73, 9.04, 0.6069
WSC: 90, 44.58, 8.1, 0.6068
SPKAU: 90, 10.41, 1.53, 0.6068
WINA: 90, 259.56, 5.59, 0.6065
RNERU: 90, 10.21, 0.75, 0.6064
MSVB: 90, 16.22, 6.47, 0.606
CRWD: 90, 245.55, 15.75, 0.6058
IJT: 90, 146.0, 4.37, 0.6058
PEY: 90, 21.81, 3.6, 0.6054
ADOC: 90, 10.29, 0.81, 0.6053
DVY: 90, 126.74, 3.31, 0.6052
AAON: 90, 85.59, 6.88, 0.605
BLNGU: 90, 10.03, 0.59, 0.605
LNT: 90, 63.77, 4.17, 0.6044
PTOCU: 90, 10.25, 0.82, 0.6043
JAQCU: 90, 9.93, 0.86, 0.6042
EDNC: 90, 9.84, 1.03, 0.6041
CSX: 90, 40.03, 6.13, 0.6038
BFC: 90, 77.73, 6.11, 0.6037
FISV: 90, 109.97, 5.19, 0.6037
FYC: 90, 78.36, 4.54, 0.6036
PSCU: 90, 70.15, 3.46, 0.6036
ONEW: 90, 73.97, 22.61, 0.6034
KROS: 90, 69.16, 19.35, 0.6033
VCTR: 90, 40.79, 10.08, 0.6033
BSMM: 90, 25.5, 0.45, 0.6032
INFR: 90, 33.07, 3.06, 0.6031
BGNE: 90, 298.89, 12.72, 0.603
ADI: 90, 187.47, 6.37, 0.603
PKW: 90, 101.31, 3.92, 0.603
NCACU: 90, 10.25, 1.25, 0.603
IESC: 90, 56.18, 9.53, 0.6028
LSTR: 90, 189.94, 5.12, 0.6028
CSB: 90, 64.33, 4.27, 0.6028
NCBS: 90, 91.64, 6.1, 0.6027
QYLD: 90, 23.37, 2.74, 0.6027
AZTA: 90, 114.19, 10.03, 0.6026
NDSN: 90, 274.15, 6.32, 0.6026
DXCM: 90, 602.0, 11.06, 0.6023
FFIN: 90, 55.19, 6.67, 0.6023
QTR: 90, 27.03, 2.72, 0.6022
MEKA: 90, 13.3, 10.14, 0.6019
ARCKU: 90, 10.2, 0.8, 0.6019
BSMN: 90, 25.75, 0.6, 0.6018
LHCG: 90, 147.02, 7.12, 0.6017
APACU: 90, 11.0, 4.32, 0.6016
VCLT: 90, 107.55, 1.99, 0.6016
GWRS: 90, 18.4, 7.34, 0.6011
GLEE: 90, 10.01, 0.72, 0.6011
FPXI: 90, 59.45, 3.73, 0.6008
JUGG: 90, 9.97, 1.48, 0.6008
TROW: 90, 209.09, 5.52, 0.6006
CENTA: 90, 52.43, 8.02, 0.6005
ESGD: 90, 82.32, 3.0, 0.6004
ASET: 90, 35.03, 2.81, 0.6003
FXNC: 90, 24.17, 5.35, 0.6
UCYB: 90, 56.97, 9.19, 0.5998
IEF: 90, 115.76, 0.88, 0.5997
CHSCL: 90, 29.04, 2.69, 0.5995
CSF: 90, 66.6, 3.13, 0.5994
CIGI: 90, 159.95, 7.99, 0.5993
SKYA: 90, 9.92, 1.14, 0.5993
FCEF: 90, 26.36, 3.41, 0.5992
TTEC: 90, 101.56, 7.28, 0.5989
BSJQ: 90, 26.14, 1.84, 0.5989
BSY: 90, 53.86, 9.65, 0.5986
PODD: 90, 296.17, 8.77, 0.5985
CSSEP: 90, 28.61, 4.61, 0.5985
EMCB: 90, 75.06, 1.45, 0.5984
IMAB: 90, 58.21, 21.57, 0.5983
PGNY: 90, 63.29, 17.58, 0.5983
FSBW: 90, 36.8, 7.09, 0.5983
TUSA: 90, 52.58, 3.8, 0.598
LMAT: 90, 56.33, 9.38, 0.5979
NEO: 90, 36.3, 9.89, 0.5978
MLAB: 90, 356.13, 7.13, 0.5977
DCRDU: 90, 10.64, 2.82, 0.5976
BRIV: 90, 9.8, 0.71, 0.5976
MTCH: 90, 144.5, 10.04, 0.5975
FNX: 90, 107.14, 3.86, 0.5975
GCACU: 90, 10.46, 1.24, 0.5974
SYBT: 90, 67.84, 6.11, 0.5971
GAINN: 90, 26.25, 1.33, 0.5971
IIVIP: 90, 310.19, 8.55, 0.597
PUCK: 90, 9.78, 0.61, 0.597
AMRK: 90, 65.9, 9.11, 0.5969
FRG: 90, 62.91, 16.75, 0.5968
BL: 90, 114.13, 9.42, 0.5965
CLOEU: 90, 10.93, 3.82, 0.5963
RFEU: 90, 80.7, 3.41, 0.5963
FOSLL: 90, 25.55, 1.08, 0.5963
HELE: 90, 261.26, 6.38, 0.5962
PLBC: 90, 37.47, 7.28, 0.5961
DWPP: 90, 36.78, 3.01, 0.5961
VTWG: 90, 222.61, 4.11, 0.5959
LEVLP: 90, 27.79, 3.84, 0.5959
EMB: 90, 110.34, 1.5, 0.5956
VONV: 90, 76.23, 3.3, 0.5954
CZR: 90, 108.7, 15.02, 0.5952
BAND: 90, 78.69, 10.05, 0.5952
NVEE: 90, 154.68, 10.94, 0.5951
MKSI: 90, 193.12, 8.05, 0.595
ACTD: 90, 10.05, 0.96, 0.5948
KOD: 90, 112.37, 21.54, 0.5947
MXL: 90, 85.78, 11.12, 0.5947
IEUS: 90, 72.05, 3.32, 0.5946
LKFN: 90, 84.52, 5.74, 0.5945
PANW: 90, 609.24, 7.49, 0.5942
EJFAU: 90, 10.62, 1.54, 0.5941
BSCT: 90, 21.23, 1.51, 0.5941
VERA: 90, 39.41, 36.48, 0.594
JBHT: 90, 216.52, 4.97, 0.5936
AMED: 90, 178.27, 8.34, 0.5935
PY: 90, 46.39, 4.01, 0.5935
HOLX: 90, 79.52, 5.57, 0.5933
PTH: 90, 161.82, 5.21, 0.5933
FUND: 90, 8.93, 3.66, 0.5932
ZT: 90, 9.82, 1.22, 0.5932
CHW: 90, 10.46, 4.23, 0.5931
AIRR: 90, 47.13, 4.49, 0.593
TQQQ: 90, 199.85, 14.39, 0.5926
ALRM: 90, 92.11, 8.75, 0.5926
LBRDP: 90, 29.32, 1.91, 0.5925
PRDS: 90, 15.0, 9.12, 0.5924
BSJP: 90, 24.93, 1.44, 0.5922
BEAM: 90, 103.42, 23.58, 0.5921
UHAL: 90, 759.1, 4.99, 0.5919
VRIG: 90, 25.24, 0.74, 0.5919
ZI: 90, 74.66, 13.62, 0.5918
GGPIU: 90, 12.77, 7.67, 0.5917
CHSCP: 90, 31.39, 1.99, 0.5913
VALN: 90, 88.37, 35.29, 0.5912
BCYC: 90, 73.01, 19.62, 0.5912
ASND: 90, 148.3, 9.81, 0.5912
LPRO: 90, 24.51, 7.79, 0.5909
LANDM: 90, 25.95, 1.28, 0.5906
MNSBP: 90, 27.07, 2.9, 0.5905
OLPX: 90, 31.15, 13.43, 0.5904
PSC: 90, 49.84, 4.62, 0.5904
IPKW: 90, 41.09, 3.09, 0.5903
RFDI: 90, 75.22, 2.88, 0.5903
MBIN: 90, 52.86, 8.76, 0.5902
LFUS: 90, 336.68, 6.18, 0.5902
TBCP: 90, 9.86, 1.04, 0.5902
FNWD: 90, 49.54, 3.11, 0.5901
YSACU: 90, 10.76, 1.69, 0.5901
HONE: 90, 15.8, 5.19, 0.59
SIMO: 90, 102.22, 7.71, 0.5898
SSNC: 90, 87.99, 5.73, 0.5898
ENVX: 90, 30.61, 21.33, 0.5896
SIVB: 90, 746.99, 8.54, 0.5896
INTEU: 90, 10.07, 0.47, 0.5895
IQMDU: 90, 10.21, 0.74, 0.5892
FCNCA: 90, 886.3, 6.04, 0.5891
IART: 90, 72.96, 5.12, 0.5891
ATVI: 90, 71.54, 6.12, 0.589
RDVT: 90, 47.59, 15.59, 0.5889
MTTR: 90, 28.08, 24.09, 0.5888
EBAY: 90, 70.26, 5.41, 0.5888
CSGS: 90, 60.99, 4.99, 0.5888
WIRE: 90, 153.05, 6.48, 0.5887
ERIE: 90, 203.73, 4.89, 0.5883
WALD: 90, 10.26, 1.53, 0.5883
FORTY: 90, 133.98, 9.05, 0.5882
PLBY: 90, 33.59, 22.78, 0.5881
ISLE: 90, 9.88, 0.57, 0.588
CLRG: 90, 37.63, 3.93, 0.5878
PAIC: 90, 10.3, 1.27, 0.5878
OTTR: 90, 74.47, 5.44, 0.5876
THRY: 90, 47.93, 14.21, 0.5873
NSIT: 90, 113.97, 6.94, 0.5873
BRP: 90, 40.33, 12.11, 0.5871
CSA: 90, 71.9, 3.82, 0.5867
MDLZ: 90, 68.94, 3.73, 0.5867
SHYF: 90, 55.24, 10.88, 0.5866
WLTW: 90, 249.0, 4.25, 0.5864
CLST: 90, 13.99, 1.94, 0.5864
CASH: 90, 65.43, 8.48, 0.5862
LGIH: 90, 170.51, 11.27, 0.5859
WGRO: 90, 28.45, 3.62, 0.5859
ENZL: 90, 60.92, 3.4, 0.5859
PRFZ: 90, 198.88, 3.66, 0.5856
PSCI: 90, 104.07, 4.27, 0.5855
CHI: 90, 15.81, 4.07, 0.5854
PTC: 90, 129.89, 5.98, 0.5851
LCAP: 90, 10.07, 1.16, 0.5851
NEWT: 90, 29.5, 7.52, 0.5849
EXEL: 90, 21.52, 11.76, 0.5845
CACC: 90, 727.04, 7.81, 0.5845
ACKIU: 90, 10.55, 1.12, 0.5844
PFTA: 90, 9.79, 0.84, 0.584
IPAR: 90, 114.23, 7.13, 0.5838
FIVE: 90, 224.66, 8.23, 0.5837
ARCC: 90, 21.85, 4.6, 0.5837
ICLN: 90, 21.93, 4.54, 0.5837
CFFE: 90, 10.07, 1.16, 0.5836
COUP: 90, 177.3, 10.19, 0.5835
MBINN: 90, 26.81, 2.12, 0.5835
MCAF: 90, 9.97, 1.7, 0.5832
CLFD: 90, 92.57, 9.16, 0.5829
NTES: 90, 103.55, 8.02, 0.5829
TCX: 90, 89.5, 7.11, 0.5828
IBKR: 90, 85.51, 5.32, 0.5825
GIWWU: 90, 10.36, 1.49, 0.5823
DKNG: 90, 30.93, 14.04, 0.5822
MRBK: 90, 38.45, 6.48, 0.5822
MCFE: 90, 28.42, 9.43, 0.5821
QCRH: 90, 60.25, 5.89, 0.5819
FTXR: 90, 35.96, 4.04, 0.5813
PIZ: 90, 41.65, 3.0, 0.5813
ROCK: 90, 73.01, 7.07, 0.5812
MODV: 90, 160.89, 6.63, 0.5811
CASY: 90, 208.29, 4.52, 0.5811
VYMI: 90, 69.2, 2.78, 0.5811
SOVO: 90, 16.13, 9.62, 0.581
PTRS: 90, 10.3, 4.81, 0.581
HPLTU: 90, 10.38, 2.95, 0.5809
STAA: 90, 104.64, 11.37, 0.5807
SLAB: 90, 223.53, 7.4, 0.5806
CDXS: 90, 35.67, 11.84, 0.5804
WINV: 90, 9.87, 0.5, 0.5804
UFPT: 90, 75.6, 5.63, 0.5798
IMGO: 90, 31.78, 25.48, 0.5797
CROX: 90, 146.09, 11.05, 0.5797
SGEN: 90, 172.48, 7.86, 0.5796
VTWO: 90, 93.18, 3.52, 0.5794
FYX: 90, 101.2, 3.77, 0.5793
MNST: 90, 100.78, 4.96, 0.5791
POWI: 90, 99.77, 6.65, 0.579
CENQU: 90, 10.44, 2.51, 0.579
ACMR: 90, 99.01, 20.69, 0.5788
SMLR: 90, 108.1, 17.1, 0.5787
AXNX: 90, 63.88, 13.06, 0.5787
BLFS: 90, 46.75, 15.32, 0.5786
TWNK: 90, 21.38, 4.32, 0.5786
DIOD: 90, 118.42, 6.9, 0.5785
CINF: 90, 120.79, 4.78, 0.5785
PFI: 90, 56.65, 3.3, 0.5785
IMCV: 90, 70.34, 3.21, 0.5785
PONOU: 90, 10.47, 2.14, 0.5785
JBSS: 90, 95.24, 5.4, 0.5783
CHY: 90, 16.7, 3.88, 0.5783
HYZD: 90, 22.54, 1.27, 0.5783
DLHC: 90, 22.92, 11.12, 0.5782
KLIC: 90, 64.15, 7.19, 0.5781
SFBC: 90, 47.34, 5.08, 0.5781
MGPI: 90, 95.31, 8.67, 0.5779
LEGR: 90, 45.12, 3.8, 0.5779
MCBS: 90, 30.91, 9.94, 0.5778
GTACU: 90, 10.21, 1.08, 0.5778
ON: 90, 75.77, 9.03, 0.5777
CCOI: 90, 77.68, 5.3, 0.5777
NOVVU: 90, 10.36, 1.54, 0.5777
WOOD: 90, 94.95, 3.38, 0.5775
USBF: 90, 100.1, 0.31, 0.577
CGNX: 90, 84.53, 6.92, 0.5769
BCPC: 90, 178.75, 4.87, 0.5769
PUI: 90, 36.51, 2.89, 0.5768
DWMC: 90, 40.94, 4.87, 0.5767
ITIC: 90, 206.85, 6.02, 0.5766
FEP: 90, 44.69, 2.98, 0.5766
CHSCO: 90, 28.22, 2.07, 0.5766
RNMC: 90, 31.62, 3.86, 0.5765
PEZ: 90, 94.48, 3.78, 0.5765
EA: 90, 140.43, 5.19, 0.5764
BSMO: 90, 25.9, 0.55, 0.5763
CATC: 90, 96.23, 4.72, 0.5762
SQLV: 90, 41.71, 3.89, 0.5761
FMBH: 90, 45.36, 5.11, 0.576
BPOPM: 90, 26.64, 2.97, 0.576
DWAS: 90, 93.96, 4.2, 0.5759
ARQQ: 90, 35.84, 34.99, 0.5758
WIX: 90, 169.88, 9.77, 0.5758
DDIV: 90, 34.9, 2.99, 0.5757
MANT: 90, 77.56, 5.05, 0.5756
BIOT: 90, 9.91, 0.69, 0.5756
ATSG: 90, 31.35, 6.34, 0.575
FFWM: 90, 26.57, 5.29, 0.575
GGMC: 90, 9.97, 1.24, 0.575
LOB: 90, 96.33, 8.31, 0.5749
MNSB: 90, 25.84, 5.46, 0.5748
FBMS: 90, 41.0, 4.98, 0.5746
LECO: 90, 147.13, 4.21, 0.5746
TRMB: 90, 92.92, 5.94, 0.5745
FWRD: 90, 126.93, 4.76, 0.5739
HMST: 90, 54.92, 5.61, 0.5738
ACBAU: 90, 10.75, 2.15, 0.5738
PDEX: 90, 26.9, 10.82, 0.5737
RFEM: 90, 69.49, 2.97, 0.5737
DOX: 90, 78.16, 3.15, 0.5736
BRLIU: 90, 11.23, 2.27, 0.5736
CDAQU: 90, 9.9, 0.55, 0.5736
OXSQG: 90, 25.33, 1.09, 0.5733
AMCI: 90, 9.73, 0.43, 0.5733
AIA: 90, 78.46, 3.19, 0.5732
PTOC: 90, 9.93, 0.9, 0.5732
VG: 90, 22.64, 8.22, 0.5731
WDAY: 90, 294.94, 6.51, 0.5731
DSWL: 90, 4.05, 5.82, 0.5731
AZN: 90, 61.08, 3.98, 0.573
STLD: 90, 66.7, 6.5, 0.5728
VGLT: 90, 90.12, 1.69, 0.5727
ACTDU: 90, 10.44, 1.38, 0.5727
RICK: 90, 81.99, 10.49, 0.5726
FIZZ: 90, 49.71, 8.06, 0.5726
ACGL: 90, 46.62, 4.34, 0.5725
PPHP: 90, 9.9, 0.48, 0.5725
PVBC: 90, 19.27, 5.66, 0.5724
EVSTC: 90, 104.55, 4.39, 0.5723
FTA: 90, 72.05, 2.97, 0.5723
ROKU: 90, 271.0, 17.05, 0.5722
MANH: 90, 170.71, 7.05, 0.5721
DOCU: 90, 173.11, 11.92, 0.572
DTRTU: 90, 10.2, 0.65, 0.5718
PLW: 90, 36.79, 1.08, 0.5717
MGRC: 90, 83.84, 5.11, 0.5716
DALI: 90, 27.47, 3.13, 0.5716
AVO: 90, 16.9, 6.46, 0.5715
BSGAU: 90, 10.61, 2.39, 0.5715
NLITU: 90, 10.46, 1.57, 0.5715
FYBR: 90, 31.59, 5.28, 0.5713
WWACU: 90, 10.03, 0.57, 0.5712
BSMQ: 90, 26.08, 0.88, 0.5711
ICFI: 90, 107.9, 4.69, 0.5708
CCMP: 90, 207.4, 7.43, 0.5707
AMSWA: 90, 27.84, 6.65, 0.5706
ACLS: 90, 81.15, 9.59, 0.5705
BSJR: 90, 25.81, 1.57, 0.5705
AMAO: 90, 10.12, 0.92, 0.5704
MRCY: 90, 59.85, 7.0, 0.5703
KFRC: 90, 81.11, 6.3, 0.5702
CGO: 90, 16.17, 4.12, 0.5701
ENSG: 90, 91.79, 7.31, 0.57
LEGH: 90, 28.85, 8.72, 0.5699
MCRI: 90, 79.26, 7.33, 0.5698
OPRX: 90, 69.0, 13.79, 0.5697
EVGBC: 90, 104.69, 4.52, 0.5697
ARTNA: 90, 48.48, 4.38, 0.5697
EVLMC: 90, 104.6, 4.36, 0.5697
WTBA: 90, 32.87, 4.79, 0.5695
NECB: 90, 11.71, 4.22, 0.5695
ARRW: 90, 9.74, 0.29, 0.5694
CWBC: 90, 14.04, 4.38, 0.5693
HMNF: 90, 25.44, 3.32, 0.5693
AADR: 90, 66.02, 2.86, 0.5693
RPD: 90, 131.48, 8.5, 0.5692
CCD: 90, 33.34, 4.41, 0.5692
IIVI: 90, 75.33, 8.15, 0.5689
LMST: 90, 20.68, 9.62, 0.5688
MCAE: 90, 9.92, 0.5, 0.5688
NRC: 90, 45.02, 6.33, 0.5687
GNTX: 90, 36.24, 3.91, 0.5686
IXUS: 90, 72.69, 2.38, 0.5686
SMBC: 90, 55.67, 5.69, 0.5685
HTHT: 90, 38.83, 8.56, 0.5683
ASLE: 90, 19.13, 7.31, 0.5683
SELF: 90, 5.94, 4.22, 0.5683
GLDI: 90, 8.49, 1.36, 0.5681
GLEEU: 90, 10.3, 1.11, 0.568
LITE: 90, 118.21, 9.57, 0.5677
RCLF: 90, 9.91, 0.69, 0.5677
GABC: 90, 41.19, 4.37, 0.5675
QCOM: 90, 197.48, 5.71, 0.5674
CIL: 90, 45.79, 2.25, 0.5674
NHICU: 90, 10.04, 0.58, 0.5674
AXON: 90, 169.29, 8.62, 0.5673
ICUI: 90, 254.01, 5.9, 0.5671
TOWN: 90, 33.28, 4.56, 0.567
ESGE: 90, 40.54, 2.83, 0.567
PFF: 90, 39.84, 1.68, 0.5669
MSDAU: 90, 10.3, 0.95, 0.5669
PSCD: 90, 115.84, 4.19, 0.5667
SEDG: 90, 317.08, 12.31, 0.5665
JYNT: 90, 74.74, 11.3, 0.5664
ROST: 90, 119.21, 4.95, 0.5664
GFED: 90, 34.18, 5.19, 0.5662
PSEC: 90, 8.75, 3.93, 0.5662
RMR: 90, 36.89, 6.8, 0.566
CCEP: 90, 58.42, 3.87, 0.5659
EBMT: 90, 23.99, 4.55, 0.5658
CCB: 90, 56.66, 11.31, 0.5656
BSMT: 90, 26.45, 1.13, 0.5656
AEP: 90, 91.25, 2.93, 0.5655
GIGE: 90, 29.66, 4.66, 0.5653
CBSH: 90, 71.97, 3.94, 0.5653
RNSC: 90, 30.9, 3.57, 0.5653
FTXG: 90, 26.3, 2.25, 0.5651
GLSPU: 90, 10.27, 0.85, 0.565
CPAR: 90, 9.76, 0.69, 0.5649
CG: 90, 57.52, 5.47, 0.5645
DGRS: 90, 49.26, 3.31, 0.5644
SLGN: 90, 44.11, 2.81, 0.5643
KRNL: 90, 9.83, 0.62, 0.5643
NEOG: 90, 48.29, 4.76, 0.5641
VXUS: 90, 65.1, 2.35, 0.5641
MCEF: 90, 21.26, 1.46, 0.5641
FELE: 90, 99.42, 4.95, 0.5639
CMCSA: 90, 52.37, 3.39, 0.5638
SDVY: 90, 31.66, 4.06, 0.5632
LPLA: 90, 172.32, 6.59, 0.5631
TWST: 90, 91.54, 17.56, 0.5629
FRPT: 90, 102.3, 8.68, 0.5629
SFST: 90, 67.63, 6.27, 0.5629
OTRAU: 90, 10.46, 1.1, 0.5629
NBN: 90, 39.13, 7.07, 0.5628
PCYO: 90, 15.5, 6.24, 0.5627
VTWV: 90, 150.47, 3.23, 0.5627
FBNC: 90, 48.28, 5.07, 0.5626
ZM: 90, 208.56, 12.83, 0.5625
KIDS: 90, 64.01, 9.14, 0.5625
OLED: 90, 183.24, 8.59, 0.5625
MITK: 90, 18.9, 8.2, 0.5625
GMII: 90, 10.02, 0.6, 0.5625
MYRG: 90, 115.55, 6.8, 0.5623
ATLC: 90, 81.2, 14.94, 0.5622
FORM: 90, 50.14, 8.17, 0.5621
MBINP: 90, 28.66, 2.95, 0.5621
ABCM: 90, 24.88, 5.34, 0.5616
EEMA: 90, 83.76, 2.61, 0.5616
EFSC: 90, 49.9, 4.86, 0.5615
CARZ: 90, 61.78, 3.1, 0.5615
AOSL: 90, 68.41, 9.24, 0.5614
AMSF: 90, 55.94, 3.78, 0.5613
KSI: 90, 9.73, 0.29, 0.5613
FITBI: 90, 28.63, 1.99, 0.5612
JOUT: 90, 100.86, 6.21, 0.5611
BPOP: 90, 86.39, 5.17, 0.5609
SNEX: 90, 65.61, 5.75, 0.5608
BTEC: 90, 49.51, 4.27, 0.5607
AFAQU: 90, 9.98, 0.48, 0.5607
THTX: 90, 3.38, 12.11, 0.5606
IRDM: 90, 45.84, 7.46, 0.5606
FCCY: 90, 27.35, 5.04, 0.5606
TSBK: 90, 29.49, 6.11, 0.5604
CHCO: 90, 84.77, 3.87, 0.5603
PIE: 90, 26.37, 2.62, 0.5601
MMSI: 90, 68.62, 6.61, 0.56
INDT: 90, 84.52, 5.15, 0.56
LANC: 90, 172.35, 3.55, 0.5599
LITT: 90, 9.75, 0.73, 0.5598
AGZD: 90, 46.9, 0.42, 0.5597
PCCTU: 90, 10.13, 0.43, 0.5596
OFLX: 90, 131.17, 6.67, 0.5595
CERE: 90, 42.43, 22.41, 0.5594
FEUZ: 90, 47.52, 2.66, 0.5594
GLAQU: 90, 11.04, 2.17, 0.5594
GDEN: 90, 56.18, 10.41, 0.5592
COHR: 90, 288.0, 7.2, 0.5591
EDTXU: 90, 10.3, 0.7, 0.559
FDT: 90, 62.11, 2.14, 0.5589
PYCR: 90, 32.5, 9.49, 0.5588
FTXH: 90, 27.85, 2.41, 0.5588
PAFOU: 90, 10.59, 2.87, 0.5587
AHCO: 90, 25.05, 8.19, 0.5585
FMNB: 90, 19.54, 4.53, 0.5581
SLCR: 90, 9.87, 0.47, 0.5579
VRNS: 90, 52.93, 7.32, 0.5577
TXRH: 90, 96.31, 5.56, 0.5577
CAC: 90, 50.93, 4.01, 0.5577
FNVTU: 90, 10.15, 0.44, 0.5576
CTXS: 90, 100.49, 3.52, 0.5574
VMACU: 90, 10.99, 2.09, 0.5574
RUSHA: 90, 58.97, 4.88, 0.5573
SAFM: 90, 198.89, 4.52, 0.5573
HZNP: 90, 121.13, 10.32, 0.5572
ATAX: 90, 7.09, 4.01, 0.5572
RBNC: 90, 37.79, 5.55, 0.5571
IDLB: 90, 30.42, 1.77, 0.5571
LAMR: 90, 127.64, 5.46, 0.557
ACWX: 90, 56.9, 2.17, 0.557
BILI: 90, 48.59, 12.38, 0.5569
ATRC: 90, 74.65, 6.48, 0.5569
SMTC: 90, 95.37, 5.83, 0.5569
EXPI: 90, 39.07, 14.87, 0.5568
DOOO: 90, 93.66, 7.3, 0.5567
SASR: 90, 50.39, 4.56, 0.5567
DILAU: 90, 10.99, 3.67, 0.5565
RBCAA: 90, 54.04, 4.75, 0.5564
PLXS: 90, 102.1, 4.28, 0.5564
SAFT: 90, 86.58, 2.97, 0.5564
ACGLO: 90, 26.1, 1.98, 0.5564
PPGHU: 90, 10.7, 0.95, 0.5563
FAB: 90, 77.53, 2.92, 0.5562
CRNC: 90, 91.3, 16.11, 0.5561
ATRI: 90, 723.55, 3.85, 0.556
ANAT: 90, 195.42, 3.49, 0.556
TLT: 90, 148.99, 1.56, 0.5559
RANI: 90, 28.28, 35.25, 0.5558
THACU: 90, 10.14, 0.57, 0.5558
GMBLP: 90, 11.57, 13.9, 0.5556
EVBG: 90, 73.72, 9.66, 0.5552
FDTS: 90, 47.0, 2.44, 0.5549
SBFG: 90, 20.58, 4.53, 0.5548
SCMAU: 90, 10.08, 0.46, 0.5548
FTHI: 90, 22.39, 1.75, 0.5543
AEIS: 90, 99.22, 6.72, 0.5542
DXGE: 90, 37.01, 2.65, 0.5542
UBCP: 90, 17.34, 4.72, 0.5541
YORW: 90, 51.76, 4.39, 0.5539
CXSE: 90, 49.94, 3.45, 0.5538
BSMR: 90, 26.01, 0.78, 0.5538
HEWG: 90, 33.9, 2.45, 0.5537
SBNY: 90, 338.54, 5.2, 0.5536
ARVN: 90, 94.59, 15.52, 0.5535
SGH: 90, 81.6, 12.35, 0.5535
ENVI: 90, 9.97, 0.51, 0.5535
CYBR: 90, 188.12, 7.33, 0.5534
SIRI: 90, 6.59, 3.4, 0.5531
MGEE: 90, 83.06, 3.6, 0.553
CHSCM: 90, 28.09, 2.46, 0.553
TCBK: 90, 44.47, 3.63, 0.5529
DXJS: 90, 44.64, 2.59, 0.5529
FTLB: 90, 21.93, 1.28, 0.5529
NTRS: 90, 124.7, 3.75, 0.5528
PFBC: 90, 75.75, 5.27, 0.5527
DCBO: 90, 73.54, 9.03, 0.5526
WHF: 90, 16.15, 5.13, 0.5526
WTFCM: 90, 28.36, 2.49, 0.5525
NXST: 90, 158.17, 6.42, 0.5524
INDB: 90, 85.7, 4.36, 0.5524
ISDX: 90, 31.13, 2.46, 0.5523
GLAD: 90, 12.11, 4.68, 0.5522
KYMR: 90, 74.21, 15.31, 0.552
SOTK: 90, 8.44, 8.77, 0.552
ROAD: 90, 32.78, 8.49, 0.552
ESGRP: 90, 30.15, 3.57, 0.552
FCCO: 90, 21.53, 4.03, 0.5518
SYNH: 90, 110.21, 7.12, 0.5514
GGPI: 90, 11.72, 5.63, 0.5514
FCBC: 90, 34.63, 4.28, 0.5513
RNDB: 90, 25.2, 4.18, 0.5513
BSMS: 90, 26.37, 0.73, 0.5513
